Date Collected	Plot	Sex	Weight_g	Species	Field_Season	Calibration_Failure
7/16/13	2	F		DM	2013	No
7/16/13	7	M	33	DM	2013	No
7/16/13	3	M		DM	2013	No
7/16/13	1	M		DM	2013	No
7/18/13	3	M	40	DM	2013	No
7/18/13	7	M	48	DM	2013	No
7/18/13	4	F	29	DM	2013	No
7/18/13	6	F	37	DM	2013	No
8/19/13	8	F	52	DO	2013	No
10/17/13	3	F	33	DO	2013	No
10/17/13	3	F	50	DO	2013	No
12/10/13	9	F	40	DO	2013	No
12/10/13	1	M	45	DO	2013	No
12/11/13	8	F	41	DO	2013	No
11/12/13	9	F	117	DS	2013	No
11/13/13	11	F	126	DS	2013	No
11/13/13	17	M	132	DS	2013	Yes
11/13/13	14	F	113	DS	2013	Yes
11/13/13	11	F	122	DS	2013	No
11/13/13	4	F	107	DS	2013	No
11/13/13	4	F	115	DS	2013	No
1/9/14	1	M	40	DM	2014	No
1/9/14	1	F	36	DM	2014	No
3/13/14	1	F	51	DM	2014	No
3/13/14	1	F	44	DM	2014	No
3/13/14	1	F	146	DS	2014	No
1/8/14	2			NA	2014	No
1/8/14	2	M	44	DM	2014	No
1/8/14	2	F	7	PF	2014	No
1/8/14	2	M	45	DM	2014	No
1/8/14	2			OT	2014	No
1/8/14	2	M	157	DS	2014	Yes
1/8/14	2			OX	2014	No
2/18/14	2	M	218	NA	2014	Yes
2/18/14	2	F	7	PF	2014	No
2/18/14	2	M	52	DM	2014	No
3/11/15	3	M	8	PF	2014	No
4/8/15	3	F		NA	2014	No
5/6/15	3				2014	No
5/18/15	3	F	182	NA	2014	No
6/9/15	3	F	29	OT	2014	No
7/8/15	3	F	115	NA	2014	No
7/8/15	3	M	190	NA	2014	No
1/8/78	4	F	37	DM	2014	No
1/8/78	4	M		DM	2014	No
1/8/78	4	F	48	DM	2014	No
1/8/78	4	M	52	DO	2014	No
1/8/78	4	M	35	OL	2014	No
